date,O/N,1M,3M,6M
2021-07-21,0.013,0.0137,0.01025,0.01082
2021-07-22,0.014,0.01363,0.01029,0.01083
2021-07-23,0.013,0.01357,0.01033,0.01085
2021-07-26,0.019,0.01355,0.0104,0.0109
2021-07-27,0.02,0.01372,0.01046,0.01092
2021-07-28,0.018,0.0152,0.01047,0.01092
2021-07-29,0.018,0.0154,0.01045,0.01091
2021-07-30,0.016,0.01573,0.01043,0.01095
2021-08-02,0,0.01577,0.01139,0.01135
2021-08-03,0.007,0.01528,0.01126,0.01131
2021-08-04,0.004,0.01503,0.01122,0.01129
2021-08-05,0.007,0.0139,0.01115,0.01129
2021-08-06,0.01,0.01371,0.01112,0.01126
2021-08-09,0.009,0.01323,0.01113,0.01114
2021-08-10,0.013,0.01309,0.01101,0.01112
2021-08-11,0.011,0.01309,0.011,0.01113
2021-08-12,0.011,0.01294,0.01101,0.01114
2021-08-13,0.016,0.01287,0.01103,0.01114
2021-08-16,0.022,0.01323,0.01121,0.01122
2021-08-17,0.017,0.0135,0.01137,0.01127
2021-08-18,0.016,0.01361,0.01143,0.0113
2021-08-19,0.013,0.01326,0.01147,0.01131
2021-08-20,0.013,0.01313,0.0115,0.01132
2021-08-23,0.016,0.01319,0.01159,0.01139
2021-08-24,0.015,0.01328,0.01165,0.01143
2021-08-25,0.018,0.01333,0.01174,0.01152
2021-08-26,0.018,0.01352,0.01187,0.01157
2021-08-27,0.015,0.01348,0.01193,0.01161
2021-08-30,0.017,0.01313,0.01201,0.01167
2021-08-31,0.02,0.01325,0.01246,0.01169
2021-09-01,0.015,0.0132,0.01263,0.01191
2021-09-02,0.013,0.01326,0.01268,0.01195
2021-09-03,0.009,0.01368,0.01269,0.01199
2021-09-06,0.009,0.01397,0.0132,0.01197
2021-09-07,0.009,0.01381,0.01333,0.01195
2021-09-08,0.01,0.01367,0.01335,0.01192
2021-09-09,0.01,0.0139,0.01335,0.0119
2021-09-10,0.012,0.01394,0.01335,0.0119
2021-09-13,0.009,0.01397,0.01332,0.01189
2021-09-14,0.012,0.01381,0.01335,0.01188
2021-09-15,0.019,0.01376,0.01337,0.01184
2021-09-16,0.018,0.01371,0.0134,0.01184
2021-09-17,0.016,0.01358,0.01345,0.01184
2021-09-20,0.019,0.01365,0.01351,0.01183
2021-09-21,0.018,0.01381,0.01359,0.01187
2021-09-22,0.014,0.01394,0.01362,0.01184
2021-09-23,0.016,0.01403,0.0136,0.01182
2021-09-24,0.005,0.01403,0.01361,0.01184
2021-09-27,0.015,0.01287,0.01336,0.01169
2021-09-28,0.018,0.01294,0.01378,0.0117
2021-09-29,0.019,0.01309,0.01385,0.01175
2021-09-30,0.025,0.0131,0.01397,0.01179
2021-10-01,0.021,0.01313,0.01402,0.01185
2021-10-04,0.015,0.01384,0.01428,0.01201
2021-10-05,0.011,0.01388,0.014,0.01203
2021-10-06,0.009,0.01427,0.01398,0.01198
2021-10-07,0.059,0.01427,0.01391,0.01196
2021-10-08,0.106,0.01593,0.01435,0.01222
2021-10-11,0.068,0.02503,0.01731,0.01376
2021-10-12,0.112,0.02638,0.01797,0.01412
2021-10-13,0.072,0.03067,0.01904,0.01465
2021-10-14,0.08,0.03277,0.01971,0.01499
2021-10-15,0.175,0.03503,0.02047,0.01536
2021-10-18,0.182,0.04965,0.02545,0.01794
2021-10-19,0.152,0.05378,0.02739,0.01885
2021-10-20,0.147,0.06083,0.02886,0.01961
2021-10-21,0.151,0.0651,0.03035,0.02036
2021-10-22,0.111,0.06954,0.03185,0.02113
2021-10-25,0.104,0.07707,0.03457,0.02264
2021-10-26,0.1,0.07791,0.03602,0.02328
2021-10-27,0.105,0.08594,0.0369,0.02376
2021-10-28,0.109,0.08894,0.03783,0.02423
2021-10-29,0.096,0.09197,0.03882,0.02471
2021-11-02,0.125,0.09685,0.04227,0.027
2021-11-03,0.154,0.0977,0.04363,0.02754
2021-11-04,0.816,0.10694,0.04523,0.02822
2021-11-05,0.826,0.13278,0.05406,0.03261
2021-11-08,0.886,0.21018,0.0792,0.04573
2021-11-09,0.798,0.2313,0.09023,0.05025
2021-11-10,0.794,0.24848,0.0988,0.05491
2021-11-12,0.808,0.30329,0.11581,0.06341
2021-11-15,0.848,0.37299,0.13902,0.07608
2021-11-16,0.837,0.38784,0.15074,0.08023
2021-11-17,0.804,0.40146,0.15961,0.08549
2021-11-18,0.838,0.43636,0.16816,0.0898
2021-11-19,0.835,0.45753,0.1771,0.09429
2021-11-22,0.857,0.52385,0.19986,0.10723
2021-11-23,0.87,0.53427,0.2131,0.11126
2021-11-24,0.88,0.54446,0.22238,0.11702
2021-11-25,0.849,0.59724,0.23179,0.12177
2021-11-26,0.867,0.62128,0.24083,0.12635
2021-11-29,0.767,0.69509,0.2632,0.1396
2021-11-30,1,0.69735,0.27678,0.14297
2021-12-01,1.316,0.79075,0.29041,0.15076
2021-12-02,1.231,0.80828,0.30471,0.15791
2021-12-03,1.041,0.84518,0.31811,0.16374
2021-12-06,0.811,0.88741,0.35216,0.17994
2021-12-07,0.806,0.88504,0.36098,0.18621
2021-12-08,0.783,0.88827,0.36974,0.19058
2021-12-09,1.265,0.88483,0.37825,0.19481
2021-12-10,1.324,0.90041,0.39205,0.20167
2021-12-13,1.276,0.94832,0.43535,0.22092
2021-12-14,1.262,0.9586,0.44928,0.23013
2021-12-15,1.26,0.98374,0.46304,0.23698
2021-12-16,1.269,0.99748,0.47669,0.24379
2021-12-17,1.287,1.01189,0.49045,0.25065
2021-12-20,1.278,1.05089,0.53241,0.26876
